	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
1.48066	1.27594	0.535913	0.178121	0.124773	0.0978508	0.0868187	0.0329942	0.225403	0.296295	-0.00304882	0.0578339	0.0726741	0.124719	0.128616	0.200175	0.238574	0.10162	0.0833923	0.217037	0.116732	
1.48091	1.34864	0.547194	0.175929	0.127905	0.11021	0.0866661	0.0354224	0.199036	0.272278	-0.00850217	0.0604923	0.0689502	0.133652	0.154182	0.211329	0.250739	0.100082	0.081578	0.206034	0.13181	
1.48115	1.42736	0.554486	0.174136	0.135286	0.116833	0.0864983	0.0355533	0.169174	0.24646	-0.00215581	0.0642987	0.0652143	0.14635	0.179832	0.224346	0.256747	0.10302	0.0803046	0.200077	0.143539	
1.48139	1.51423	0.561778	0.177125	0.14268	0.12347	0.0863457	0.0356962	0.143967	0.220657	0.00420247	0.0681171	0.0614904	0.159059	0.210114	0.237375	0.253961	0.105953	0.0790312	0.202651	0.155279	
1.48164	1.60986	0.569071	0.183997	0.153105	0.129784	0.0864983	0.035839	0.125732	0.194336	0.0197052	0.0719355	0.0670099	0.171756	0.24501	0.260339	0.247311	0.108891	0.0777579	0.208951	0.162802	
1.48188	1.71365	0.576363	0.195651	0.158672	0.136112	0.0866508	0.0359819	0.107513	0.16803	0.035208	0.075754	0.0725415	0.184466	0.284538	0.292301	0.240672	0.111839	0.0764957	0.215251	0.178759	
1.48212	1.82841	0.568796	0.2085	0.155945	0.135986	0.0877266	0.0322323	0.0932007	0.148453	0.0418044	0.0729989	0.083653	0.19891	0.324287	0.331774	0.228197	0.10902	0.0742645	0.228284	0.203249	
1.48237	1.9611	0.561242	0.216581	0.153231	0.130962	0.0937233	0.0284947	0.0835571	0.128906	0.0484008	0.0702438	0.0947764	0.213365	0.368668	0.371246	0.215722	0.106213	0.0720446	0.241317	0.236174	
1.48261	2.11275	0.554274	0.220764	0.1502	0.128685	0.0969505	0.0221859	0.0779724	0.10936	0.0458528	0.0674887	0.105888	0.218747	0.414955	0.415031	0.198843	0.103401	0.0784678	0.262868	0.278938	
1.48285	2.27907	0.547319	0.220179	0.147182	0.126423	0.100189	0.020448	0.0770416	0.089798	0.0433047	0.0647458	0.117011	0.224139	0.452019	0.449817	0.181977	0.100594	0.0849023	0.28442	0.321703	
1.4831	2.4615	0.556506	0.217291	0.141412	0.126293	0.0993195	0.0214717	0.0691223	0.0709229	0.0335172	0.0677909	0.126387	0.219325	0.476265	0.470543	0.164273	0.100014	0.0909649	0.304729	0.37378	
1.48334	2.6586	0.575278	0.214414	0.135654	0.126179	0.0984497	0.0224954	0.0612183	0.0520782	0.0237298	0.070848	0.135775	0.214522	0.485123	0.470273	0.14657	0.0994415	0.0970388	0.325038	0.425857	
1.48358	2.87813	0.588654	0.213916	0.127157	0.126053	0.100346	0.0238047	0.0535889	0.03862	0.0139423	0.0825933	0.145151	0.200644	0.46759	0.444697	0.137672	0.0988693	0.103101	0.335941	0.476178	
1.48383	3.12539	0.602042	0.20865	0.12353	0.125935	0.0973358	0.0251141	0.0459747	0.0331268	0.00415485	0.0943508	0.154539	0.186779	0.434669	0.404134	0.128786	0.0983009	0.109175	0.338326	0.512441	
1.48407	3.41192	0.611877	0.204915	0.12689	0.127598	0.0879059	0.0243642	0.0473633	0.0355377	0.00636953	0.098725	0.145308	0.175497	0.392876	0.358077	0.127043	0.102329	0.120512	0.332103	0.528233	
1.48431	3.74574	0.621724	0.201192	0.130264	0.129272	0.0784798	0.0236262	0.0487671	0.0427551	0.0085842	0.0938191	0.136089	0.164228	0.351097	0.31202	0.1253	0.106373	0.13186	0.325881	0.524345	
1.48456	4.13031	0.63156	0.194468	0.126929	0.133698	0.0690536	0.0203171	0.0498657	0.0477448	0.0107989	0.084853	0.126857	0.152946	0.308342	0.265588	0.123557	0.110416	0.134542	0.30972	0.507631	
1.4848	4.58175	0.641407	0.192539	0.118736	0.133224	0.059639	0.0215788	0.0509644	0.0527496	0.0130136	0.075899	0.117638	0.141677	0.265594	0.219156	0.121826	0.11446	0.137235	0.285041	0.476859	
1.48504	5.11369	0.655231	0.191891	0.109516	0.124863	0.059742	0.0240785	0.0552673	0.0546722	0.0152282	0.0713797	0.115348	0.128129	0.234589	0.175911	0.11568	0.117374	0.13595	0.263911	0.443802	
1.48529	5.73532	0.669068	0.191256	0.100309	0.116516	0.0647621	0.0265782	0.0549164	0.0565948	0.0174429	0.0668725	0.11307	0.114594	0.20359	0.141664	0.109534	0.1203	0.134677	0.242781	0.410746	
1.48553	6.45784	0.682892	0.190908	0.0977975	0.107845	0.0670166	0.0293636	0.0478821	0.0584869	0.0196576	0.0716335	0.110781	0.101047	0.167671	0.11829	0.112194	0.132172	0.133392	0.229637	0.386124	
1.48577	7.28637	0.696728	0.190571	0.100156	0.0991898	0.0692863	0.032149	0.0408478	0.0604095	0.0218723	0.0764065	0.108503	0.0875117	0.140999	0.103925	0.114866	0.144047	0.132119	0.216493	0.369936	
1.48602	8.23266	0.721472	0.190024	0.105737	0.0943985	0.0761223	0.0279947	0.0331879	0.067276	0.0271947	0.0798383	0.101646	0.0736813	0.128487	0.0943647	0.126389	0.156807	0.134665	0.21087	0.361392	
1.48626	9.30451	0.746228	0.189488	0.111329	0.0896149	0.082962	0.0238523	0.025528	0.0741577	0.032517	0.08327	0.0948005	0.0598628	0.120605	0.0848158	0.137913	0.169579	0.137223	0.205246	0.352859	
1.4865	10.5072	0.770972	0.18894	0.117214	0.0848236	0.0898018	0.01971	0.017868	0.0810547	0.0378394	0.0712347	0.0879433	0.0550953	0.110687	0.0848158	0.149436	0.173401	0.148425	0.199623	0.353276	
1.48675	11.8648	0.795728	0.188405	0.123111	0.08004	0.0966568	0.0155677	0.0102234	0.0879211	0.0431618	0.0592114	0.0810981	0.0503397	0.100784	0.0848275	0.160971	0.177223	0.159637	0.193999	0.353705	
1.48699	13.4226	0.814887	0.186761	0.129604	0.0758591	0.101036	0.0182816	0.00198364	0.0917816	0.0553426	0.0541363	0.0657566	0.0442505	0.105019	0.0807971	0.169651	0.173759	0.162905	0.188908	0.358866	
