	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
3.65532	2.19163	0.258122	0.064956	0.253636	0.10125	0.0503922	0.338315	0.1716	0.179764	0.0476269	0.128306	0.0630209	0.0716988	0.110519	-0.0391553	0.0424458	0.0123978	0.0215827	-0.0342488	0.0290392	
3.65557	2.54194	0.264318	0.0665248	0.252533	0.103527	0.0555534	0.335696	0.189957	0.19783	0.0549853	0.127714	0.0627076	0.074944	0.10743	-0.043631	0.0431452	0.0165558	0.0198473	-0.0345261	0.0438322	
3.65581	2.98135	0.272246	0.0660642	0.255983	0.101852	0.0541573	0.323971	0.209763	0.213806	0.068333	0.132487	0.0587306	0.0753452	0.107407	-0.0452596	0.038467	0.0200996	0.0230589	-0.0352582	0.0525959	
3.65605	3.52188	0.280186	0.0608224	0.259445	0.100174	0.0527611	0.307688	0.229568	0.229782	0.0816925	0.13726	0.0547536	0.0757582	0.112015	-0.0468764	0.0338003	0.0236397	0.0262818	-0.0359791	0.0613597	
3.6563	4.16922	0.288126	0.05827	0.263199	0.0984993	0.0495224	0.293499	0.242203	0.255325	0.0950401	0.132753	0.0507767	0.071451	0.120186	-0.048505	0.0271041	0.0273247	0.0294935	-0.036445	0.0616892	
3.65654	4.91113	0.296067	0.0557176	0.266965	0.0968399	0.0487404	0.27931	0.247101	0.280869	0.1084	0.128245	0.0467997	0.0626123	0.132973	-0.0501219	0.0248223	0.0310173	0.0327163	-0.0368998	0.0620296	
3.65678	5.71377	0.304606	0.0584443	0.267676	0.106621	0.0498543	0.260074	0.23967	0.305634	0.116413	0.128958	0.0373273	0.0523576	0.146721	-0.0545624	0.0349125	0.0346985	0.035928	-0.0394952	0.0655219	
3.65702	6.52621	0.313144	0.061171	0.268398	0.116413	0.0485077	0.240838	0.221405	0.330399	0.124438	0.129671	0.0278549	0.0466343	0.152771	-0.0589912	0.0523525	0.0383949	0.0391508	-0.0378204	0.0690143	
3.65727	7.25549	0.321683	0.0638977	0.271353	0.12619	0.0404015	0.222079	0.198181	0.349747	0.132463	0.130384	0.0134655	0.0461032	0.152374	-0.0617445	0.0679579	0.0420761	0.0423737	-0.0385413	0.0725066	
3.65751	7.78583	0.330222	0.0666369	0.269438	0.135986	0.0298347	0.203319	0.174973	0.36113	0.140489	0.131097	0.00833158	0.0501036	0.144272	-0.0599871	0.0791603	0.0457687	0.0455966	-0.0392623	0.0760099	
3.65775	7.99953	0.332241	0.0646074	0.260358	0.139717	0.0207138	0.191499	0.149124	0.363571	0.133202	0.136378	0.0160565	0.0578212	0.131096	-0.0549022	0.0847787	0.0544968	0.0443796	-0.0345594	0.0746701	
3.658	7.85123	0.334273	0.062578	0.243174	0.143452	0.0140533	0.187297	0.12793	0.361221	0.125915	0.14167	0.0284213	0.0655389	0.117935	-0.0543163	0.0830587	0.0632248	0.0431738	-0.0298564	0.0733412	
